Country/Area,Year,Unit,"GDP, Per Capita GDP - US Dollars","GDP, Per Capita GDP - US Dollars in Int"
Afghanistan,2021,US$,372.5488747800418,372
Africa,2021,US$,1959.0437042754056,1959
Albania,2021,US$,6396.46181225342,6396
Algeria,2021,US$,3700.324057834338,3700
Americas,2021,US$,29722.973670723983,29722
Andorra,2021,US$,42066.04156968585,42066
Angola,2021,US$,2044.2182115246992,2044
Anguilla,2021,US$,19216.327989260128,19216
Antigua and Barbuda,2021,US$,15245.818985399972,15245
Argentina,2021,US$,10761.081626964278,10761
Armenia,2021,US$,4966.516675678819,4966
Aruba,2021,US$,29342.100855878063,29342
Asia,2021,US$,7988.95181589519,7988
Australia,2021,US$,66915.8592008469,66915
Australia and New Zealand,2021,US$,63926.92571905377,63926
Austria,2021,US$,53840.393295350164,53840
Azerbaijan,2021,US$,5296.443211687571,5296
Bahamas,2021,US$,27478.389628983146,27478
Bahrain,2021,US$,26562.974042819285,26562
Bangladesh,2021,US$,2449.906516762977,2449
Barbados,2021,US$,17225.462304409673,17225
Belarus,2021,US$,7121.0046888245615,7121
Belgium,2021,US$,51165.51022226701,51165
Belize,2021,US$,6228.700853183878,6228
Benin,2021,US$,1360.911474217921,1360
Bermuda,2021,US$,112652.64635039339,112652
Bhutan,2021,US$,3062.9149753761885,3062
Bolivia (Plurinational State of),2021,US$,3345.1965887432802,3345
Bosnia and Herzegovina,2021,US$,7143.283962600179,7143
Botswana,2021,US$,6805.247712627015,6805
Brazil,2021,US$,7507.160245564557,7507
British Virgin Islands,2021,US$,49443.86887089519,49443
Brunei Darussalam,2021,US$,31448.91360813847,31448
Bulgaria,2021,US$,12207.257714981306,12207
Burkina Faso,2021,US$,893.0771959864603,893
Burundi,2021,US$,310.70684427427705,310
Cabo Verde,2021,US$,3293.2333221717654,3293
Cambodia,2021,US$,1607.6589285354175,1607
Cameroon,2021,US$,1668.012410181408,1668
Canada,2021,US$,52112.06149581127,52112
Caribbean,2021,US$,9801.98057874532,9801
Cayman Islands,2021,US$,85250.26525255802,85250
Central African Republic,2021,US$,461.36101321537,461
Central America,2021,US$,8783.212940918816,8783
Central Asia,2021,US$,4396.6968616117,4396
Chad,2021,US$,955.1696725682955,955
Chile,2021,US$,16265.096434070081,16265
China (mainland),2021,US$,12437.206097525663,12437
"China, Hong Kong SAR",2021,US$,49258.81434660794,49258
"China, Macao Special Administrative Region",2021,US$,43554.859734225865,43554
Colombia,2021,US$,6104.1367093038925,6104
Comoros,2021,US$,1631.4845533623006,1631
Congo,2021,US$,2200.317775363399,2200
Cook Islands,2021,US$,19263.89002258653,19263
Costa Rica,2021,US$,12472.443327392959,12472
Croatia,2021,US$,16983.44731725539,16983
Cuba,2021,US$,11255.278949558526,11255
Curaçao,2021,US$,14183.255280476935,14183
Cyprus,2021,US$,32280.928826946954,32280
Czechia,2021,US$,26808.53985804159,26808
Côte d'Ivoire,2021,US$,2538.9110713960463,2538
Democratic People's Republic of Korea,2021,US$,654.1480075803547,654
Democratic Republic of the Congo,2021,US$,551.127775172991,551
Denmark,2021,US$,68036.71744999515,68036
Djibouti,2021,US$,3348.0133913473587,3348
Dominica,2021,US$,7570.783781489052,7570
Dominican Republic,2021,US$,8476.749688279982,8476
Eastern Africa,2021,US$,999.2664423607339,999
Eastern Asia,2021,US$,15445.79826724775,15445
Eastern Europe,2021,US$,12655.045969607063,12655
Ecuador,2021,US$,5965.132870544159,5965
Egypt,2021,US$,3898.0197303003542,3898
El Salvador,2021,US$,4551.184796822764,4551
Equatorial Guinea,2021,US$,7605.453386031027,7605
Eritrea,2021,US$,622.9821402344012,622
Estonia,2021,US$,27990.621029095353,27990
Ethiopia,2021,US$,825.2911140797497,825
Europe,2021,US$,31874.943316918096,31874
Fiji,2021,US$,4646.537921378701,4646
Finland,2021,US$,53703.45252002731,53703
France,2021,US$,44229.39371527279,44229
French Polynesia,2021,US$,19914.599058609758,19914
Gabon,2021,US$,7910.846082612401,7910
Gambia,2021,US$,772.1514523861231,772
Georgia,2021,US$,4975.12492080027,4975
Germany,2021,US$,51073.11789413874,51073
Ghana,2021,US$,2408.634902627499,2408
Greece,2021,US$,20571.21793576842,20571
Greenland,2021,US$,58185.240746841344,58185
Grenada,2021,US$,8950.228562002334,8950
Guatemala,2021,US$,4883.207815943189,4883
Guinea,2021,US$,1185.0591401061452,1185
Guinea-Bissau,2021,US$,758.5521196778986,758
